,level_0,name,business_id,id_commentaire,url,text,stars,index
10,10,Sr. Lisboa,yQfP_hw1BsusTs4TYJaNMw,FpB2sc94vi5QRQ59RrMv2A,https://www.yelp.com/biz/sr-lisboa-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=FpB2sc94vi5QRQ59RrMv2A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Sr. Lisboa should be on the radar for a Michelin Star. 

There is a clear passion and soul at Sr. Lisboa that immediately welcomes you upon arrival. It's a...",5,10.0
11,11,Sr. Lisboa,yQfP_hw1BsusTs4TYJaNMw,rPvDpGTQi83TdIab6gZPNQ,https://www.yelp.com/biz/sr-lisboa-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=rPvDpGTQi83TdIab6gZPNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"This restaurant serves the high end neighborhood, it is a simple little place with good service. Several of the dishes are  like the opening dish with lime...",4,11.0
12,12,A Cevicheria,sKC2jwbqIZvGB4A-A7zjdg,1oXem8IpaeGFAp0xhit_FA,https://www.yelp.com/biz/a-cevicheria-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=1oXem8IpaeGFAp0xhit_FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,Really great ceviche and delicious seaweed butter as the couvert. Also recommend sitting at the bar to watch them make it in front of you and get even more...,5,12.0
13,13,A Cevicheria,sKC2jwbqIZvGB4A-A7zjdg,8PME6d-mVoIUmrCJjs9Sfg,https://www.yelp.com/biz/a-cevicheria-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=8PME6d-mVoIUmrCJjs9Sfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,The ceviche was good and the presentation was modern and innovative. The fish was fresh and good quality. Location is beautiful and outdoor seating is...,3,13.0
14,14,A Cevicheria,sKC2jwbqIZvGB4A-A7zjdg,bW0H4ZUTUoT-ZcwG9K5FpA,https://www.yelp.com/biz/a-cevicheria-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=bW0H4ZUTUoT-ZcwG9K5FpA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"We arrived at lunch opening. It's been 2.5 hours and we're still waiting for some of the dishes we ordered at the start. For the tasting menu, so far 4...",1,14.0
15,15,Restaurante Carmo,PM9VC2UpExAdITA0arLCSg,FVwIQVKOCoO6vIwcz70wEQ,https://www.yelp.com/biz/restaurante-carmo-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=FVwIQVKOCoO6vIwcz70wEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"My wife and I had just arrived in Lisbon  on September 19 from the US, ready for a long overdue, COVID delayed  anniversary trip to experience Portugal....",5,15.0
16,16,Restaurante Carmo,PM9VC2UpExAdITA0arLCSg,1KB7N9MPn406LuawDjQqLw,https://www.yelp.com/biz/restaurante-carmo-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=1KB7N9MPn406LuawDjQqLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"OH MY GOD. This is one of our favorite restaurants in Lisboa! We got the delicious cod appetizer which was amazing, soft on the inside, crispy on the...",5,16.0
17,17,Restaurante Carmo,PM9VC2UpExAdITA0arLCSg,AKEZ2SMuZpB1PdIZaaFLRQ,https://www.yelp.com/biz/restaurante-carmo-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=AKEZ2SMuZpB1PdIZaaFLRQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,I went very hungry and told my server as such. My portion was very small. I forgot what it was called - I think something with cod. The food was less than...,3,17.0
18,18,Frangasqueira Nacional,hbpYoakumhjJcgWFW_ttMw,Tk2ShSnc0JzxBq0XB7ebSA,https://www.yelp.com/biz/frangasqueira-nacional-lisboa-2?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=Tk2ShSnc0JzxBq0XB7ebSA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,It's very hard to see the sign to make it to this place but ABSOLUTELY worth finding. The owner/chef has such an unique personality. A truly sweet person!...,5,18.0
19,19,Frangasqueira Nacional,hbpYoakumhjJcgWFW_ttMw,2BKt2ZiEApGARGW1rxGc_Q,https://www.yelp.com/biz/frangasqueira-nacional-lisboa-2?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=2BKt2ZiEApGARGW1rxGc_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"I've always been a fan of well-executed chicken dishes, so take that into account when I say that the chicken they make at Frangasqueira Nacional is nothing...",5,19.0
20,20,Frangasqueira Nacional,hbpYoakumhjJcgWFW_ttMw,xaTU175yKZ6n4-mem5-vSQ,https://www.yelp.com/biz/frangasqueira-nacional-lisboa-2?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=xaTU175yKZ6n4-mem5-vSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,This was our most favorite meal when we were visiting Lisbon on vacation 2yrs ago! It was also the best peri peri chicken & sausage we ever had!! I still...,5,20.0
21,21,Cruzes Credo,F2gLD_mO4OPzUVqBiJe8GQ,x1DvqsyII6a-QEunOXvoNg,https://www.yelp.com/biz/cruzes-credo-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=x1DvqsyII6a-QEunOXvoNg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Right before covid-19, we had our first dinner in Lisbon here. Ambience is nice and service was great!

Pao Gleba, azeitonas, requeijao, manteiga (bread...",2,21.0
22,22,Cruzes Credo,F2gLD_mO4OPzUVqBiJe8GQ,J0QValKZX98tFiTz-PUImg,https://www.yelp.com/biz/cruzes-credo-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=J0QValKZX98tFiTz-PUImg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,We visited Cruzes Credo twice during our visit to Lisbon because the food was amazing and a great modern interpretation of Portuguese cuisine. We found that...,5,22.0
23,23,Cruzes Credo,F2gLD_mO4OPzUVqBiJe8GQ,g7JOj_FK7qXctnW5MyeOZg,https://www.yelp.com/biz/cruzes-credo-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=g7JOj_FK7qXctnW5MyeOZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Service was extremely friendly.  They engaged our kids and were very sweet.

This restaurant is right by Se and serves great food.

The cheese plate was...",5,23.0
24,24,A Taberna da Rua das Flores,f9HAgdEu1mu3iXJ-wRV_tA,7zA8LCMecGmvy90D6LZdTQ,https://www.yelp.com/biz/a-taberna-da-rua-das-flores-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=7zA8LCMecGmvy90D6LZdTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"A definite must-do. A cozy little Taberna off a lively square, Taberna Rua das Flores was a quiet intimate little oasis amid the hubbub of the city....",5,24.0
25,25,A Taberna da Rua das Flores,f9HAgdEu1mu3iXJ-wRV_tA,0ph7HCUbkjLjll0UF1tGXQ,https://www.yelp.com/biz/a-taberna-da-rua-das-flores-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=0ph7HCUbkjLjll0UF1tGXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"The short of this review is this: if I'm ever in Lisbon again, I'd come here. Sure, the near 2.50 hour wait was bonkers (Monday).  But the scallops were...",4,25.0
26,26,A Taberna da Rua das Flores,f9HAgdEu1mu3iXJ-wRV_tA,iAnTroTUZmKWHNjAMqcH5w,https://www.yelp.com/biz/a-taberna-da-rua-das-flores-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=iAnTroTUZmKWHNjAMqcH5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Serving Lisbon for ten years, and consistently full despite a no reservations policy, A Taberna da Rua das Flores takes Portuguese Ingredients seriously. So...",5,26.0
27,27,Restaurante O Arco,w5ZpzuqjcG_M_KA2BJQFDQ,huIrLcLyRpsbMSy0E96gzQ,https://www.yelp.com/biz/restaurante-o-arco-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=huIrLcLyRpsbMSy0E96gzQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"We were in Lisboa this past June for a few days and were looking for a place for dinner.  I found this place on Yelp and, after reading V.P.'s review (just...",5,27.0
28,28,Restaurante O Arco,w5ZpzuqjcG_M_KA2BJQFDQ,AoB9HZAPhb2IqW1N2izuIw,https://www.yelp.com/biz/restaurante-o-arco-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=AoB9HZAPhb2IqW1N2izuIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,Liked the place. Seems like only locals go there and the cook is like your mom. Home Portuguese cooking but I searched for paella and they don't have it...,3,28.0
29,29,Restaurante O Arco,w5ZpzuqjcG_M_KA2BJQFDQ,2owWrfvuEXfSrM7IgMgX1Q,https://www.yelp.com/biz/restaurante-o-arco-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=2owWrfvuEXfSrM7IgMgX1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Simple, but excellent foods. No frills, well priced for its location. Excellent music, large servings, and great port. The owner/server was very kind to all...",5,29.0
30,30,Quermesse,4joOrtDo6QlrayiB3SNiRA,JwnruALmPRhvOex9KAfb2w,https://www.yelp.com/biz/quermesse-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=JwnruALmPRhvOex9KAfb2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Solid food in a cute restaurant/specialty store. Service was mostly friendly, once you get passed being chastised by the lady manning the bar for being a...",4,30.0
31,31,Quermesse,4joOrtDo6QlrayiB3SNiRA,Z55_s0ZfFT4Y2cKVVrt21w,https://www.yelp.com/biz/quermesse-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=Z55_s0ZfFT4Y2cKVVrt21w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"This place is amazing! I had dinner here alone on my last night in portugal. They were very friendly. I ordered the house wine, and the shrimps in garlic....",5,31.0
32,32,Quermesse,4joOrtDo6QlrayiB3SNiRA,LMu9M89ohNX6gX19vZia2g,https://www.yelp.com/biz/quermesse-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=LMu9M89ohNX6gX19vZia2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,Came here for dinner after seeing the great reviews - there was a slight wait and kind of a rude host who was the only reason for the lack of the extra...,4,32.0
33,33,Floresta do Salitre,5z-vrfjy7l-ZR0uLSYVyHQ,-agD80Fh7kPFLywcJI0Tww,https://www.yelp.com/biz/floresta-do-salitre-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=-agD80Fh7kPFLywcJI0Tww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,This is a true local hang out spot with authentic Portuguese food. Just look at the notable stickers on the door with their recognition and reviews. The...,5,33.0
34,34,Floresta do Salitre,5z-vrfjy7l-ZR0uLSYVyHQ,bgS-g6YIviA_NGpiaggDQg,https://www.yelp.com/biz/floresta-do-salitre-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=bgS-g6YIviA_NGpiaggDQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"As others have noted, Floresta is a gem as a family run small restaurant that delivers fresh from the sea fish prepared simply in order to allow the quality...",5,34.0
35,35,Floresta do Salitre,5z-vrfjy7l-ZR0uLSYVyHQ,MA1HGDPKmIhviTr9zAq45A,https://www.yelp.com/biz/floresta-do-salitre-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=MA1HGDPKmIhviTr9zAq45A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"This is one of those meals that you will remember for years. Big portions await you here. I had the fried steak dish, which was served with potato chips and...",5,35.0
36,36,Pistola y Corazon,xQZLfoZRPGnP9QPKwIIW1A,wKkn8iap8cVZbNiqggB6-Q,https://www.yelp.com/biz/pistola-y-corazon-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=wKkn8iap8cVZbNiqggB6-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"This is a small restaurant where all tables are 4-6 seaters and mostly shared. It is not a fine dine restaurant, but is extremely buzzing with great food...",5,36.0
37,37,Pistola y Corazon,xQZLfoZRPGnP9QPKwIIW1A,F4FQ8uBSBa8kkUh0G6ebpQ,https://www.yelp.com/biz/pistola-y-corazon-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=F4FQ8uBSBa8kkUh0G6ebpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,BEST TACOS OF ALL TIME! Texan approved!! They have a combo deal where you get juice and coffee with your tacos and a bunch of salsas. (Some of the salsas...,5,37.0
38,38,Pistola y Corazon,xQZLfoZRPGnP9QPKwIIW1A,pZgyxQ2UrjgmBp4NhNkWoQ,https://www.yelp.com/biz/pistola-y-corazon-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=pZgyxQ2UrjgmBp4NhNkWoQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"I can sum up my opinion of this place in one sentence: I went here twice on a 4 day vacation to Lisbon.
Yes- it is THAT good.
The first visit was for dinner...",5,38.0
39,39,Solar 31,U7UBBVRleeU53V1ytNuxTg,6V1V6_G2cRqHHH3Q7Weadw,https://www.yelp.com/biz/solar-31-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=6V1V6_G2cRqHHH3Q7Weadw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"We had a delicious meal here. Try the scabbard fish entree.

We arrived before the dinner crowd and it was perfect because the owner/chef came out and...",5,39.0
40,40,Solar 31,U7UBBVRleeU53V1ytNuxTg,2CCpEe9Yt_Em0npOCk1WEg,https://www.yelp.com/biz/solar-31-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=2CCpEe9Yt_Em0npOCk1WEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"By far the best Seafood I have had the joy of eating in Lisboa! Just incredible fresh, taste, presentation! From the kitchen to the server! Solar 31 is a...",5,40.0
41,41,Solar 31,U7UBBVRleeU53V1ytNuxTg,ce4r0Ctq4U6PXnV_jLUNNg,https://www.yelp.com/biz/solar-31-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=ce4r0Ctq4U6PXnV_jLUNNg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Well, that $15 octopus dish is now $30 (they do add a couple of shrimp and call it ""shrimp and octopus""). Strange you can't just get octopus now, since they...",2,41.0
42,42,Sea Me,2QVKUeHZmxcaE-VQ_QwjPQ,S-TFrr_BOksrQZfeFKPISg,https://www.yelp.com/biz/sea-me-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=S-TFrr_BOksrQZfeFKPISg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"Such amazing food! Sea Me may not strike you from the street level as ""a cozy, authentic Lisbon spot"" because it's spacious and modern - but trust that this...",5,42.0
43,43,Sea Me,2QVKUeHZmxcaE-VQ_QwjPQ,AePskYUs6MfoWYNbl5LdYQ,https://www.yelp.com/biz/sea-me-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=AePskYUs6MfoWYNbl5LdYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,Solid seafood spot in the Bairro Alto neighborhood off the Plaza de Camões. A glass of Laurent Perrier to start? Sure! Delicious two piece nigiri of roasted...,4,43.0
44,44,Sea Me,2QVKUeHZmxcaE-VQ_QwjPQ,M436GzQRIdQlUCnNIH2d4g,https://www.yelp.com/biz/sea-me-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=M436GzQRIdQlUCnNIH2d4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,Cute Lisbon seafood spot. Had a reservation at 8. By 8:25 we said we'd sit at the bar because no one was getting up.  We were lucky since the waitstaff was...,4,44.0
45,45,Restaurante Laurentina,fjuLpLpj63_MPkdr9au6xw,4J6SCfUnLmm2XjEjY9kumQ,https://www.yelp.com/biz/restaurante-laurentina-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=4J6SCfUnLmm2XjEjY9kumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"In the last year that I've been traveling to Lisbon for work this place, Laurentina, O Rei do Bacalhau, has been my preferred choice of restaurant almost...",5,45.0
46,46,Restaurante Laurentina,fjuLpLpj63_MPkdr9au6xw,UmAYsOY7CqvH-2kOdFsTRQ,https://www.yelp.com/biz/restaurante-laurentina-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=UmAYsOY7CqvH-2kOdFsTRQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"This is THE place to go for Bacalhau à Brás. Being it my first time in Lisbon, this opened my eyes to Portuguese dishes. It was so delicious we had to go...",5,46.0
47,47,Restaurante Laurentina,fjuLpLpj63_MPkdr9au6xw,KBnE7BPi0M80_hWqLAAruQ,https://www.yelp.com/biz/restaurante-laurentina-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=KBnE7BPi0M80_hWqLAAruQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"My family and I came here at the recc of our uber driver and was very happy with our experience.

With cod being the staple food of Portugal, we made sure...",4,47.0
48,48,Castelo de S. Jorge,MZD2p2heUhcREkz9lYndDw,X_NYoS8vH3OwAcL6XYqP_w,https://www.yelp.com/biz/castelo-de-s-jorge-lisboa-2?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=X_NYoS8vH3OwAcL6XYqP_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,We walked up to this beautiful castle. We are so glad we got to check out this landmark. It has an amazing view of the entire city up town which was very...,5,48.0
49,49,Castelo de S. Jorge,MZD2p2heUhcREkz9lYndDw,E-SLN6DemQDFlHXO9qtGIg,https://www.yelp.com/biz/castelo-de-s-jorge-lisboa-2?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=E-SLN6DemQDFlHXO9qtGIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,We came here as one of the must do things in Lisbon. We had a nice view of this castle from our hotel window so it seemed only fitting that we visited it...,4,49.0
50,50,Castelo de S. Jorge,MZD2p2heUhcREkz9lYndDw,ZpJSIDCN8Z0121w-bg3ucQ,https://www.yelp.com/biz/castelo-de-s-jorge-lisboa-2?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=ZpJSIDCN8Z0121w-bg3ucQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"If you have car, you will not able to park here. Because the castle ground and city are designated limited access. So you have find a parking spot below the...",4,50.0
51,51,daPrata52,uUUEpkHKW4FwOxr_Qwui6g,AVMsHRmMaLsBlqgQ-OgNYg,https://www.yelp.com/biz/daprata52-lisboa?adjust_creative=5ZvXakD9YjwVeaW1GaFbvg&hrid=AVMsHRmMaLsBlqgQ-OgNYg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=5ZvXakD9YjwVeaW1GaFbvg,"My rating is purely based on mostly non-meat dishes and overall I am a critical yelp reviewer having tasted lots of things internationally.

What we...",2,51.0
